agent_a,agent_b,a_wins,b_wins,draws,total,win_rate_a,avg_half_moves
DQN(ep64846),Minimax(d=3),10,0,10,20,0.5,92.5
DQN(ep64846),Minimax(d=4),10,0,10,20,0.5,70.0
DQN(ep64846),Minimax(d=5),0,20,0,20,0.0,56.5
DQN(ep64846),Minimax(d=6),10,0,10,20,0.5,62.0
Minimax(d=3),Minimax(d=4),0,10,10,20,0.0,73.5
Minimax(d=3),Minimax(d=5),0,20,0,20,0.0,46.5
Minimax(d=3),Minimax(d=6),0,20,0,20,0.0,48.5
Minimax(d=4),Minimax(d=5),0,20,0,20,0.0,92.5
Minimax(d=4),Minimax(d=6),10,10,0,20,0.5,62.0
Minimax(d=5),Minimax(d=6),0,10,10,20,0.0,145.0
